MaHoaDon,DiemPhucVu,DiemViTri,DiemChatLuongMonAn,DiemGiaCa,DiemKhongGian,BinhLuan
73410,3,7,4,10,10,Rất hài lòng!
37655,4,5,2,10,8,Giá quá đắt!
119614,9,9,6,3,1,Không hài lòng!
96067,8,1,10,3,0,Không gian chật chội!
9034,6,3,0,5,3,Không gian chật chội!
78976,2,7,1,8,6,Không ngon!
57161,4,9,6,2,10,Không gian đẹp!
30570,2,3,10,4,0,Giá quá đắt!
22168,5,6,4,6,6,Không hài lòng!
18283,5,3,7,9,5,Không ngon!
53221,2,7,0,2,9,Không gian chật chội!
143988,9,10,3,8,6,"Ngon, sẽ quay lại!"
143626,7,3,4,7,6,Dịch vụ kém!
92922,7,8,2,3,5,Không ngon!
57010,8,4,9,8,4,Không gian đẹp!
101587,9,1,10,0,8,Dịch vụ kém!
63445,0,7,5,1,2,Không gian chật chội!
33553,2,10,8,9,10,Rất hài lòng!
87486,7,5,4,10,7,Giá cả hợp lý!
90915,0,4,10,3,4,Không gian chật chội!
50703,6,6,2,0,0,Không gian chật chội!
124881,7,2,6,7,3,Dịch vụ kém!
126290,6,6,9,7,0,Không hài lòng!
138126,0,8,4,0,1,Dịch vụ kém!
111919,1,7,5,5,3,Không ngon!
2965,10,4,2,5,9,"Ngon, sẽ quay lại!"
17584,5,9,3,10,4,"Ngon, sẽ quay lại!"
39357,9,0,1,8,8,Giá quá đắt!
19556,9,5,5,0,0,Không ngon!
72744,4,2,4,5,10,Không ngon!
108462,10,7,8,10,4,Giá cả hợp lý!
44942,7,9,5,1,4,Dịch vụ kém!
97649,9,0,10,0,4,Dịch vụ kém!
91257,0,6,0,7,6,Giá quá đắt!
88427,0,3,4,4,4,Không hài lòng!
10053,4,0,1,6,10,Giá quá đắt!
77338,5,0,6,1,10,Không hài lòng!
37773,6,8,4,4,7,Không hài lòng!
20219,10,5,1,1,3,Không gian chật chội!
37801,6,10,4,10,4,Giá cả hợp lý!
87737,7,1,5,6,1,Không ngon!
110545,4,10,4,5,1,Không hài lòng!
125775,10,5,10,10,9,Rất hài lòng!
139221,3,4,7,10,4,Không gian chật chội!
12964,3,6,0,1,2,Không ngon!
68633,8,3,0,10,4,Không gian chật chội!
47284,2,1,7,1,2,Dịch vụ kém!
6365,4,4,0,0,10,Không gian chật chội!
46292,10,3,2,2,0,Giá quá đắt!
3863,6,8,1,7,8,Giá cả hợp lý!
79380,6,0,1,0,1,Không ngon!
105564,9,7,9,4,7,Giá cả hợp lý!
18838,7,9,0,4,7,Dịch vụ kém!
126132,5,1,0,8,5,Không ngon!
124572,1,3,8,6,8,Không gian chật chội!
12667,8,2,2,3,6,Giá quá đắt!
137396,0,5,4,7,7,Giá quá đắt!
8584,0,9,4,3,9,Không gian chật chội!
61660,4,3,10,4,0,Dịch vụ kém!
130527,8,0,8,1,5,Dịch vụ kém!
57479,0,0,1,0,8,Giá quá đắt!
44710,5,6,6,8,0,Không hài lòng!
68362,8,8,1,5,9,Dịch vụ tuyệt vời!
51860,2,3,3,0,7,Dịch vụ kém!
37880,10,3,6,10,3,Rất hài lòng!
62907,5,8,2,3,10,Không hài lòng!
121648,4,9,9,5,9,Không gian đẹp!
6889,2,1,6,9,7,Không hài lòng!
80671,1,1,6,4,0,Không gian chật chội!
7571,7,1,4,4,1,Không ngon!
5211,3,9,7,4,8,Giá cả hợp lý!
81542,7,5,8,8,4,Rất hài lòng!
104075,4,2,6,1,2,Không hài lòng!
86454,6,2,7,10,3,Không hài lòng!
46995,8,10,6,9,9,Không gian đẹp!
7950,9,4,0,0,7,Không gian chật chội!
48643,5,7,9,3,9,"Ngon, sẽ quay lại!"
66740,6,10,6,4,10,Rất hài lòng!
87976,10,2,8,6,10,Dịch vụ tuyệt vời!
80580,6,2,0,0,1,Không gian chật chội!
72314,3,8,4,0,1,Dịch vụ kém!
73496,8,0,1,6,6,Không gian chật chội!
36629,2,1,1,10,8,Không ngon!
34700,0,10,1,0,5,Không gian chật chội!
66484,3,9,6,2,4,Dịch vụ kém!
3821,5,7,9,3,0,Không ngon!
24229,3,10,6,2,10,Giá cả hợp lý!
71270,4,7,9,2,5,Không ngon!
117926,9,1,7,5,5,Dịch vụ kém!
141795,4,5,10,3,4,Không gian chật chội!
130195,1,3,10,3,1,Không hài lòng!
68510,6,9,0,2,5,Giá quá đắt!
133254,6,2,6,8,4,Giá quá đắt!
44113,3,10,8,1,5,Không ngon!
9871,8,0,5,10,9,Rất hài lòng!
104921,7,8,2,8,9,Không gian đẹp!
65072,0,8,8,3,7,Không ngon!
17512,1,10,6,9,9,"Ngon, sẽ quay lại!"
60276,7,3,0,5,6,Không gian chật chội!
39860,3,9,5,5,0,Giá quá đắt!
80590,3,4,8,4,7,Không ngon!
41076,1,0,6,2,8,Không gian chật chội!
127444,6,3,9,3,6,Không hài lòng!
135245,0,0,8,6,10,Không gian chật chội!
134181,6,8,1,5,9,Dịch vụ kém!
11973,6,3,7,3,10,Không gian chật chội!
75897,2,5,1,10,0,Không hài lòng!
103809,6,9,8,4,6,Không gian đẹp!
41862,3,9,6,8,2,Giá quá đắt!
118914,6,8,8,6,2,Không gian đẹp!
46921,1,2,1,7,0,Không gian chật chội!
20657,4,5,5,0,4,Không ngon!
7601,3,9,1,0,6,Không hài lòng!
67080,4,5,8,8,6,Rất hài lòng!
24270,8,5,3,0,8,Không gian chật chội!
73738,6,2,0,3,3,Dịch vụ kém!
57872,8,5,6,10,7,Dịch vụ tuyệt vời!
97117,4,6,1,0,7,Không gian chật chội!
71205,2,5,6,3,10,Giá quá đắt!
106806,1,8,2,5,7,Không gian chật chội!
15676,6,3,0,5,9,Giá quá đắt!
130007,7,9,0,6,4,Không gian chật chội!
100587,8,10,4,4,4,"Ngon, sẽ quay lại!"
59259,10,10,6,9,9,Dịch vụ tuyệt vời!
26503,9,1,8,7,4,Không gian chật chội!
111113,6,7,4,8,10,Không gian đẹp!
147733,2,0,7,2,1,Không hài lòng!
144702,4,10,4,4,9,Giá cả hợp lý!
132719,9,7,5,4,10,Dịch vụ tuyệt vời!
76445,2,0,4,2,1,Không ngon!
64335,8,9,4,0,0,Không gian chật chội!
105459,4,4,7,10,1,Không ngon!
149387,0,0,2,0,1,Không ngon!
87808,7,3,10,7,8,"Ngon, sẽ quay lại!"
80533,0,8,5,7,0,Không gian chật chội!
574,7,10,5,5,1,Không gian chật chội!
55265,0,10,3,6,2,Không gian chật chội!
44426,8,1,5,1,7,Giá quá đắt!
69458,8,8,4,10,5,"Ngon, sẽ quay lại!"
68319,6,4,0,9,9,Dịch vụ kém!
91866,5,6,6,4,1,Không gian chật chội!
136660,1,9,7,5,1,Không ngon!
146820,2,2,9,2,4,Không hài lòng!
25690,5,1,6,1,7,Không hài lòng!
51931,10,10,2,1,8,"Ngon, sẽ quay lại!"
113632,0,6,0,9,8,Không gian chật chội!
83202,6,1,9,3,8,Không hài lòng!
135869,6,0,2,4,3,Dịch vụ kém!
116138,7,8,5,8,10,Rất hài lòng!
149211,4,2,5,8,3,Giá quá đắt!
95109,7,3,2,5,4,Dịch vụ kém!
18125,6,1,5,0,3,Không ngon!
129969,5,2,7,7,10,Dịch vụ tuyệt vời!
67990,7,2,2,5,10,Không ngon!
15556,4,10,9,5,2,Rất hài lòng!
102271,8,10,9,3,4,"Ngon, sẽ quay lại!"
149817,0,5,0,1,9,Không hài lòng!
25175,7,4,0,9,5,Không gian chật chội!
71252,10,4,10,9,6,Không gian đẹp!
53807,10,5,8,2,7,"Ngon, sẽ quay lại!"
95431,8,3,2,9,2,Không ngon!
63086,7,8,1,5,3,Không ngon!
147962,7,1,3,0,2,Không gian chật chội!
106415,8,5,4,10,4,"Ngon, sẽ quay lại!"
117342,0,5,2,10,9,Không hài lòng!
1128,3,7,9,1,9,Dịch vụ kém!
93091,9,3,10,6,0,Dịch vụ kém!
24714,3,2,10,9,9,"Ngon, sẽ quay lại!"
6692,6,9,5,3,10,Rất hài lòng!
108136,9,8,8,2,6,Dịch vụ tuyệt vời!
23003,3,5,8,8,1,Dịch vụ kém!
48699,5,2,4,10,6,Không gian chật chội!
84382,1,6,5,5,2,Giá quá đắt!
76945,8,4,6,2,5,Không gian chật chội!
38759,7,6,3,2,7,Giá quá đắt!
99569,7,5,10,8,4,"Ngon, sẽ quay lại!"
19579,7,5,4,5,9,Rất hài lòng!
50503,9,3,1,4,10,Không hài lòng!
60268,7,10,8,6,3,"Ngon, sẽ quay lại!"
34355,1,0,0,4,0,Không gian chật chội!
25858,0,10,5,6,10,"Ngon, sẽ quay lại!"
45038,7,6,10,9,8,Rất hài lòng!
32755,8,1,3,4,0,Không gian chật chội!
131996,7,7,9,6,4,Dịch vụ tuyệt vời!
140722,0,7,9,0,6,Không hài lòng!
31944,1,1,3,10,1,Không hài lòng!
33475,8,10,8,1,5,Không gian đẹp!
19317,8,2,3,4,4,Không ngon!
45939,9,8,9,6,10,"Ngon, sẽ quay lại!"
72783,4,1,1,3,0,Không gian chật chội!
105167,9,4,7,7,0,Dịch vụ kém!
99383,10,7,6,8,9,Dịch vụ tuyệt vời!
63982,7,4,2,7,3,Không gian chật chội!
99124,0,1,3,7,1,Không ngon!
93553,2,10,5,0,3,Không ngon!
73512,6,7,10,8,8,"Ngon, sẽ quay lại!"
21426,0,2,6,8,5,Giá quá đắt!
126962,3,6,6,0,2,Không gian chật chội!
118001,1,9,1,0,1,Không gian chật chội!
7497,5,0,3,10,10,Không hài lòng!
80283,2,9,9,6,7,"Ngon, sẽ quay lại!"
14093,3,7,7,5,5,Không hài lòng!
36157,6,3,5,9,5,Giá quá đắt!
119340,5,7,7,5,10,Rất hài lòng!
89864,2,7,0,1,0,Không hài lòng!
33039,10,3,6,8,6,Rất hài lòng!
69649,1,9,0,9,10,Không ngon!
95287,3,1,9,3,8,Không ngon!
69921,6,7,3,5,7,Không ngon!
28825,0,7,0,1,7,Không ngon!
21132,5,1,5,4,4,Không gian chật chội!
22928,5,3,3,7,1,Giá quá đắt!
63075,9,3,8,0,8,Không gian chật chội!
94488,0,3,8,4,3,Giá quá đắt!
6054,6,4,5,8,6,Dịch vụ kém!
80729,4,4,8,1,4,Dịch vụ kém!
100004,2,0,7,1,6,Không hài lòng!
68023,4,3,0,5,4,Không hài lòng!
3140,3,4,2,0,7,Không gian chật chội!
102173,5,0,8,7,8,Không gian chật chội!
50412,5,1,8,2,4,Dịch vụ kém!
59723,8,0,7,1,10,Giá quá đắt!
33077,0,1,0,0,3,Dịch vụ kém!
29055,6,5,5,10,3,Không gian chật chội!
114046,7,4,9,5,5,"Ngon, sẽ quay lại!"
11666,7,2,7,1,4,Không gian chật chội!
76678,5,5,1,9,2,Không ngon!
102989,2,10,2,6,6,Không gian chật chội!
73447,8,7,2,6,9,Rất hài lòng!
62026,9,10,0,1,7,Không ngon!
52815,9,2,8,8,5,Rất hài lòng!
71346,10,5,0,6,5,Dịch vụ kém!
58796,1,2,9,7,8,Không ngon!
55900,7,1,8,0,6,Không ngon!
22700,3,0,8,6,0,Giá quá đắt!
78729,5,8,8,4,5,"Ngon, sẽ quay lại!"
75357,0,7,2,5,8,Giá quá đắt!
41584,3,4,4,5,9,Giá quá đắt!
32589,6,3,9,9,7,Dịch vụ tuyệt vời!
119542,6,9,6,0,7,Dịch vụ kém!
137873,0,0,8,0,7,Không hài lòng!
54265,7,4,10,4,10,Không gian đẹp!
92026,4,8,6,9,4,Giá cả hợp lý!
42151,7,0,10,8,2,Dịch vụ kém!
16095,10,7,7,10,5,Giá cả hợp lý!
120700,6,7,1,6,5,Giá quá đắt!
49268,6,1,1,10,4,Dịch vụ kém!
145091,2,8,7,3,7,Dịch vụ kém!
37401,2,1,4,5,7,Không hài lòng!
8263,9,9,1,6,0,Không hài lòng!
50982,8,1,8,9,10,Giá cả hợp lý!
24095,0,10,10,5,3,Không ngon!
50618,3,9,3,8,1,Không gian chật chội!
96248,4,10,1,2,4,Giá quá đắt!
87775,8,3,3,2,10,Không ngon!
63846,6,3,6,0,1,Dịch vụ kém!
118060,6,5,4,2,2,Dịch vụ kém!
75412,10,6,5,0,4,Không ngon!
112900,6,2,2,10,0,Giá quá đắt!
26879,4,4,2,9,0,Không gian chật chội!
11844,0,5,9,1,2,Không hài lòng!
72666,10,7,5,0,8,"Ngon, sẽ quay lại!"
70650,9,7,10,6,8,Dịch vụ tuyệt vời!
129521,2,3,9,5,8,Giá quá đắt!
141632,1,5,5,3,8,Dịch vụ kém!
112407,10,4,5,5,6,Giá cả hợp lý!
70795,6,2,4,7,10,Giá quá đắt!
102273,8,1,3,8,6,Dịch vụ kém!
37553,0,8,4,6,7,Giá quá đắt!
10384,6,4,8,6,10,Giá cả hợp lý!
44902,10,8,2,0,7,Giá quá đắt!
4676,10,3,8,10,7,"Ngon, sẽ quay lại!"
127956,2,8,6,9,4,Dịch vụ kém!
5699,10,8,7,9,4,Giá cả hợp lý!
124591,7,6,4,9,0,Không ngon!
91759,7,4,6,10,6,Giá cả hợp lý!
78934,0,5,2,4,8,Dịch vụ kém!
68328,2,10,9,3,6,Không gian đẹp!
71357,2,5,9,2,6,Dịch vụ kém!
15882,10,3,5,8,4,Dịch vụ tuyệt vời!
47239,0,10,5,6,1,Không gian chật chội!
113417,10,10,1,1,10,Dịch vụ tuyệt vời!
54254,3,6,7,0,1,Giá quá đắt!
132056,5,10,7,8,4,Giá cả hợp lý!
26808,1,5,0,5,8,Không hài lòng!
28979,8,5,4,7,2,Không gian chật chội!
51617,8,3,10,0,3,Giá quá đắt!
50884,7,10,2,7,8,Rất hài lòng!
44887,6,1,2,4,8,Không hài lòng!
64846,9,5,7,4,2,Không hài lòng!
5753,4,0,4,9,0,Không hài lòng!
24773,8,3,7,2,8,Không ngon!
125543,10,0,0,0,8,Không gian chật chội!
110190,9,3,0,0,9,Giá quá đắt!
115897,8,10,1,7,9,Dịch vụ tuyệt vời!
137974,1,2,2,2,10,Dịch vụ kém!
95687,10,2,4,3,1,Không gian chật chội!
137032,6,6,0,10,7,Không ngon!
115100,5,3,2,4,8,Không gian chật chội!
30274,10,10,2,8,7,Dịch vụ tuyệt vời!
136425,8,10,10,9,6,Dịch vụ tuyệt vời!
72243,6,10,7,10,10,Giá cả hợp lý!
140809,3,5,0,4,9,Giá quá đắt!
146318,3,0,10,5,4,Không ngon!
68027,10,2,1,3,8,Không gian chật chội!
51766,10,0,2,5,10,Không ngon!
128802,9,9,1,3,9,Giá cả hợp lý!
70500,8,8,0,8,8,Không gian đẹp!
41636,5,5,9,2,7,Không ngon!
96319,6,2,10,5,7,Giá cả hợp lý!
52281,6,5,9,4,6,"Ngon, sẽ quay lại!"
141954,9,9,5,1,6,"Ngon, sẽ quay lại!"
80082,3,5,10,5,3,Không hài lòng!
27690,4,0,9,9,10,Không gian đẹp!
129199,0,5,7,10,8,Dịch vụ tuyệt vời!
118324,6,1,6,7,8,Không gian chật chội!
155,3,2,6,9,10,Rất hài lòng!
73943,7,6,6,7,3,Không hài lòng!
84741,9,6,10,8,4,"Ngon, sẽ quay lại!"
72655,0,2,0,6,3,Dịch vụ kém!
38892,4,2,7,10,2,Giá quá đắt!
52029,2,6,0,0,2,Không gian chật chội!
21220,0,10,9,4,3,Giá quá đắt!
43717,6,6,5,0,8,Không hài lòng!
12190,3,7,6,4,0,Giá quá đắt!
127836,1,5,7,1,0,Không ngon!
42693,4,2,4,2,10,Không gian chật chội!
147340,10,10,1,9,6,Dịch vụ tuyệt vời!
146864,0,10,1,7,3,Giá quá đắt!
44371,3,1,8,2,10,Không gian chật chội!
12401,5,9,4,9,5,Dịch vụ tuyệt vời!
75888,0,3,3,8,10,Không hài lòng!
142328,5,9,7,8,7,Dịch vụ tuyệt vời!
11389,6,2,4,6,1,Không hài lòng!
43531,6,10,4,1,9,Rất hài lòng!
11418,7,10,0,6,5,Không gian chật chội!
136437,8,3,2,9,8,Dịch vụ tuyệt vời!
90835,5,10,0,2,3,Không ngon!
18716,8,2,4,9,0,Không gian chật chội!
25345,10,2,6,7,8,Dịch vụ tuyệt vời!
5108,0,6,3,0,9,Không gian chật chội!
137223,4,2,0,0,7,Dịch vụ kém!
42282,9,0,7,4,9,Giá quá đắt!
29237,1,7,8,10,9,Không gian đẹp!
105939,8,9,5,2,10,Rất hài lòng!
79387,6,5,3,7,4,Không gian chật chội!
145461,8,8,1,10,0,Không gian chật chội!
123527,2,5,5,4,3,Không hài lòng!
72924,6,6,3,2,4,Dịch vụ kém!
26863,7,2,6,0,0,Không hài lòng!
55353,9,3,2,9,7,"Ngon, sẽ quay lại!"
88433,1,4,2,6,10,Không ngon!
39430,7,8,9,10,8,"Ngon, sẽ quay lại!"
84549,4,4,4,7,4,Dịch vụ kém!
137047,9,7,8,8,2,Giá cả hợp lý!
134927,1,8,7,4,10,Giá cả hợp lý!
115264,10,6,9,10,0,Dịch vụ tuyệt vời!
55196,10,4,6,9,0,Không ngon!
76898,6,3,2,3,9,Giá quá đắt!
50456,8,0,8,3,1,Không gian chật chội!
95770,9,4,10,8,5,Giá cả hợp lý!
102187,9,2,10,8,4,Rất hài lòng!
75320,10,6,3,3,0,Không ngon!
101953,5,0,5,5,6,Giá quá đắt!
62360,0,2,2,8,4,Không hài lòng!
48368,9,8,5,0,6,Không hài lòng!
75570,10,9,9,9,6,"Ngon, sẽ quay lại!"
146404,9,1,5,2,0,Không gian chật chội!
18783,1,1,3,4,5,Giá quá đắt!
82247,1,2,0,4,9,Không ngon!
17151,7,9,3,9,2,Dịch vụ tuyệt vời!
79073,0,2,0,8,3,Không ngon!
74287,8,4,1,7,3,Không hài lòng!
141074,3,3,2,10,1,Không hài lòng!
20991,5,10,10,10,2,Dịch vụ tuyệt vời!
1744,1,4,5,7,8,Dịch vụ kém!
142242,10,4,0,5,9,Giá quá đắt!
46919,9,6,3,4,10,Không gian đẹp!
147086,10,7,4,7,6,Không gian đẹp!
47572,3,7,9,4,4,Dịch vụ kém!
109943,10,2,6,7,3,Không ngon!
83618,1,3,4,9,3,Giá quá đắt!
17438,5,6,8,9,9,"Ngon, sẽ quay lại!"
136205,6,10,9,4,10,"Ngon, sẽ quay lại!"
103184,3,1,4,9,3,Dịch vụ kém!
68598,5,0,4,1,10,Không hài lòng!
57455,0,3,10,4,1,Không gian chật chội!
128491,1,1,0,3,6,Không ngon!
129850,2,2,2,2,9,Không hài lòng!
19727,10,9,2,3,0,Dịch vụ kém!
111471,2,7,2,7,4,Giá quá đắt!
61478,3,7,8,3,1,Không gian chật chội!
26513,8,3,6,9,8,Rất hài lòng!
95469,10,3,10,1,3,Không ngon!
147918,10,5,8,1,2,Không hài lòng!
60649,0,1,2,9,5,Không ngon!
124515,3,10,4,5,1,Không hài lòng!
22844,10,7,7,7,4,Không gian đẹp!
118683,4,1,10,2,6,Không ngon!
65064,5,4,1,3,7,Không ngon!
78013,6,2,3,7,6,Dịch vụ kém!
117015,9,7,7,2,6,Rất hài lòng!
127354,5,10,7,8,7,"Ngon, sẽ quay lại!"
90149,5,10,9,1,8,Dịch vụ tuyệt vời!
94854,4,8,7,1,2,Không ngon!
60664,9,6,2,3,5,Không gian chật chội!
147513,7,2,9,3,2,Không ngon!
94047,9,4,8,10,0,"Ngon, sẽ quay lại!"
55234,4,0,5,0,8,Dịch vụ kém!
9730,1,5,6,0,8,Không hài lòng!
139179,7,9,7,8,0,Không gian đẹp!
95155,2,5,7,1,0,Không ngon!
45258,2,1,2,6,1,Dịch vụ kém!
25724,8,10,5,3,5,Rất hài lòng!
3312,8,5,8,5,0,Không gian chật chội!
63817,6,8,2,6,3,Không gian chật chội!
142416,7,6,7,10,1,Không gian đẹp!
69704,1,7,1,3,9,Giá quá đắt!
70989,7,0,9,8,8,Giá cả hợp lý!
22411,10,9,5,9,1,Rất hài lòng!
90241,9,5,3,7,4,Không hài lòng!
62557,1,7,5,2,3,Không hài lòng!
38459,2,5,8,2,4,Không hài lòng!
129003,3,10,4,2,7,Không ngon!
19182,9,0,4,10,2,Không gian chật chội!
62500,5,9,2,9,9,Giá cả hợp lý!
72264,2,4,3,3,10,Không gian chật chội!
57942,8,7,0,10,7,Không gian đẹp!
52515,10,2,4,7,3,Giá quá đắt!
67494,8,5,3,8,0,Không ngon!
81922,3,1,3,9,0,Không gian chật chội!
19255,6,9,7,1,9,Rất hài lòng!
22626,0,6,2,0,10,Không ngon!
7731,0,10,0,1,5,Không ngon!
93114,1,7,2,3,1,Dịch vụ kém!
63092,2,4,3,6,6,Dịch vụ kém!
23174,2,7,0,8,10,Dịch vụ kém!
67217,8,3,3,6,5,Giá quá đắt!
128988,4,0,7,10,5,Không ngon!
126832,6,7,2,7,10,Giá cả hợp lý!
86378,9,4,2,1,8,Dịch vụ kém!
112227,9,9,10,2,3,Rất hài lòng!
25382,1,2,8,3,9,Dịch vụ kém!
44214,3,8,9,9,10,Dịch vụ tuyệt vời!
31608,6,10,7,6,1,Rất hài lòng!
44,7,10,4,10,5,Dịch vụ tuyệt vời!
98000,9,7,2,10,3,Giá cả hợp lý!
101575,9,10,2,3,1,Giá quá đắt!
117224,4,6,5,6,6,Giá quá đắt!
49652,7,8,2,10,5,Giá cả hợp lý!
142626,5,10,3,6,8,Dịch vụ tuyệt vời!
24075,9,1,0,5,2,Không gian chật chội!
76700,8,8,5,6,9,Dịch vụ tuyệt vời!
49347,0,9,10,2,0,Giá quá đắt!
117368,3,0,7,6,7,Không hài lòng!
119030,1,4,3,3,2,Không gian chật chội!
122316,0,6,1,7,3,Dịch vụ kém!
148381,0,10,4,7,4,Giá quá đắt!
139315,3,5,4,4,2,Giá quá đắt!
18352,0,4,3,5,8,Không gian chật chội!
147672,3,10,8,6,4,Rất hài lòng!
9358,0,5,2,9,8,Không ngon!
60886,6,6,0,0,10,Dịch vụ kém!
4156,1,4,3,3,8,Giá quá đắt!
15876,0,8,2,3,4,Không gian chật chội!
111056,7,6,8,0,9,Dịch vụ tuyệt vời!
56029,1,6,9,10,2,Không gian chật chội!
72603,4,8,4,8,3,Không hài lòng!
147020,4,2,5,10,6,Không ngon!
81342,7,10,9,6,7,Không gian đẹp!
54849,4,2,3,0,8,Không ngon!
118748,10,7,6,6,8,Rất hài lòng!
116046,8,5,4,9,1,Giá quá đắt!
103939,2,8,4,4,10,Giá quá đắt!
101074,0,6,0,7,10,Không hài lòng!
80741,0,6,5,5,2,Giá quá đắt!
7706,7,1,6,1,6,Giá quá đắt!
72651,6,4,3,1,7,Giá quá đắt!
41776,4,6,4,5,7,Dịch vụ kém!
131430,3,6,9,5,1,Không hài lòng!
25393,7,9,8,0,1,Giá quá đắt!
144101,0,0,7,5,10,Dịch vụ kém!
11581,6,4,10,7,10,Không gian đẹp!
68041,1,3,3,1,1,Không gian chật chội!
31139,1,1,1,6,5,Dịch vụ kém!
46134,8,7,5,5,0,Giá quá đắt!
73495,2,5,10,8,3,Giá quá đắt!
2180,2,3,9,3,9,Giá quá đắt!
13099,7,10,8,10,3,Giá cả hợp lý!
46194,4,8,7,9,9,"Ngon, sẽ quay lại!"
99877,3,4,7,4,1,Không hài lòng!
136687,3,1,7,1,2,Không ngon!
66969,4,8,4,0,0,Giá quá đắt!
11572,2,6,2,9,0,Dịch vụ kém!
141443,6,3,0,8,4,Không gian chật chội!
136196,2,2,0,10,7,Giá quá đắt!
97434,4,2,2,2,3,Không ngon!
122834,7,0,0,0,7,Không ngon!
30150,7,3,8,2,1,Không ngon!
70876,8,10,6,9,5,Giá cả hợp lý!
37206,8,3,8,4,10,Không gian đẹp!
2333,7,7,4,5,7,"Ngon, sẽ quay lại!"
22615,9,0,5,10,5,Giá quá đắt!
51418,1,0,0,9,7,Không gian chật chội!
118327,3,8,8,0,0,Giá quá đắt!
122738,5,8,4,7,9,Giá cả hợp lý!
4933,7,4,0,1,5,Giá quá đắt!
134511,10,10,8,6,6,Rất hài lòng!
89460,1,1,3,3,2,Không gian chật chội!
71167,5,8,8,6,4,Rất hài lòng!
100698,1,3,10,7,7,Không gian chật chội!
108577,2,1,10,10,9,"Ngon, sẽ quay lại!"
100640,0,0,7,1,9,Dịch vụ kém!
38101,8,5,4,2,0,Dịch vụ kém!
3577,2,10,2,0,6,Không hài lòng!
98791,9,7,6,2,2,Dịch vụ kém!
34455,5,2,0,4,3,Không hài lòng!
131581,1,6,9,9,3,Không ngon!
46763,2,9,10,8,1,"Ngon, sẽ quay lại!"
94541,3,4,2,1,8,Không ngon!
111502,2,5,10,5,0,Không ngon!
100250,9,1,3,0,10,Không hài lòng!
56871,7,0,6,8,4,Giá quá đắt!
106157,1,8,0,7,3,Giá quá đắt!
20916,7,5,1,6,3,Giá quá đắt!
83068,4,5,10,9,4,Rất hài lòng!
130928,7,5,0,9,0,Dịch vụ kém!
6904,5,1,3,7,2,Giá quá đắt!
122006,4,0,7,9,6,Giá quá đắt!
67216,2,0,4,4,2,Dịch vụ kém!
63686,6,9,8,9,9,Không gian đẹp!
102327,7,8,0,4,6,Dịch vụ kém!
120423,10,4,1,2,7,Dịch vụ kém!
96773,8,8,7,9,0,Rất hài lòng!
148749,8,7,4,4,0,Giá quá đắt!
26230,6,9,0,9,9,Giá cả hợp lý!
42291,2,6,6,0,7,Không hài lòng!
8893,5,9,7,5,8,Dịch vụ tuyệt vời!
54878,5,4,7,2,10,Không gian chật chội!
138870,6,6,8,0,5,Giá quá đắt!
45243,6,6,3,6,2,Không hài lòng!
92767,10,8,2,6,10,"Ngon, sẽ quay lại!"
55458,8,4,7,1,8,Không gian chật chội!
149420,0,9,4,0,4,Không hài lòng!
105841,10,10,4,10,4,Dịch vụ tuyệt vời!
144505,3,6,3,4,2,Dịch vụ kém!
81064,3,1,0,8,3,Không ngon!
11279,9,10,4,6,7,"Ngon, sẽ quay lại!"
32189,5,7,7,7,10,Rất hài lòng!
86373,3,7,8,10,1,Dịch vụ kém!
139080,8,7,8,5,2,"Ngon, sẽ quay lại!"
124464,7,6,8,10,8,Giá cả hợp lý!
35904,5,4,1,0,4,Không hài lòng!
100982,0,1,2,4,5,Không ngon!
117619,9,0,6,2,2,Không hài lòng!
111729,4,5,1,1,6,Giá quá đắt!
103982,5,6,0,4,1,Không gian chật chội!
96685,7,0,7,2,8,Không hài lòng!
78728,5,1,1,7,5,Không hài lòng!
46566,5,10,1,4,1,Không hài lòng!
104836,8,1,3,3,1,Không gian chật chội!
18628,10,5,6,5,3,Giá quá đắt!
112737,1,6,7,2,0,Dịch vụ kém!
50815,1,1,2,1,7,Không hài lòng!
149214,5,0,5,2,7,Không gian chật chội!
122036,5,4,3,0,10,Dịch vụ kém!
74613,1,2,2,9,0,Dịch vụ kém!
52159,2,4,8,10,0,Giá quá đắt!
100170,3,6,6,8,3,Dịch vụ kém!
36679,3,9,9,10,8,Không gian đẹp!
52646,4,6,8,4,9,"Ngon, sẽ quay lại!"
142928,9,0,5,5,1,Không hài lòng!
83057,1,2,5,4,3,Giá quá đắt!
33100,4,0,9,5,4,Không hài lòng!
2800,0,5,2,4,5,Dịch vụ kém!
27625,9,8,9,1,9,Rất hài lòng!
43224,5,3,4,3,0,Giá quá đắt!
57584,9,3,2,0,5,Không ngon!
98473,4,3,7,6,4,Giá quá đắt!
56732,9,3,10,4,1,Không gian chật chội!
129823,4,8,5,5,6,Giá quá đắt!
102658,9,6,9,8,4,Không gian đẹp!
144630,2,0,10,1,4,Giá quá đắt!
21194,5,5,7,7,7,Giá cả hợp lý!
86718,4,2,0,3,6,Không gian chật chội!
87368,3,4,1,8,6,Giá quá đắt!
116960,7,3,10,8,8,Dịch vụ tuyệt vời!
7886,3,5,3,4,9,Không ngon!
70289,8,6,8,7,0,Giá quá đắt!
115847,4,8,7,7,8,Giá cả hợp lý!
5673,5,5,6,9,10,Giá cả hợp lý!
111381,8,10,6,0,1,Dịch vụ kém!
