MaSoThe,MaKhachHang,NgayLap,LoaiThe,TinhTrangThe,DiemTichLuy
10570,66548,2023-02-09,Member,Active,0
10571,96834,2023-03-09,Member,Active,0
10572,5885,2023-08-12,Member,Active,0
10573,6057,2023-01-29,Member,Active,0
10574,71944,2023-09-13,Member,Active,0
10575,40663,2023-04-22,Member,Active,0
10576,23904,2023-10-13,Member,Active,0
10577,92557,2023-04-27,Member,Active,0
10578,77414,2023-11-21,Member,Active,0
10579,23102,2023-07-22,Member,Active,0
10580,93089,2023-05-13,Member,Active,0
10581,86018,2023-10-26,Member,Active,0
10582,99394,2023-10-09,Member,Active,0
10583,51280,2023-10-08,Member,Active,0
10584,39145,2023-08-01,Member,Active,0
10585,62156,2023-07-06,Member,Active,0
10586,82118,2023-03-09,Member,Active,0
10587,1018,2023-07-10,Member,Active,0
10588,52778,2023-07-11,Member,Active,0
10589,92173,2023-01-10,Member,Active,0
10590,61663,2023-05-08,Member,Active,0
10591,60987,2023-08-25,Member,Active,0
10592,51321,2023-11-30,Member,Active,0
10593,57801,2023-12-20,Member,Active,0
10594,30222,2023-02-21,Member,Active,0
10595,97960,2023-04-01,Member,Active,0
10596,11304,2023-02-26,Member,Active,0
10597,71399,2023-07-11,Member,Active,0
10598,93846,2023-04-24,Member,Active,0
10599,35743,2023-09-13,Member,Active,0
10600,6453,2023-03-22,Member,Active,0
10601,23244,2023-10-20,Member,Active,0
10602,89148,2023-08-17,Member,Active,0
10603,27479,2023-06-20,Member,Active,0
10604,20586,2023-07-31,Member,Active,0
10605,3532,2023-10-02,Member,Active,0
10606,62423,2023-03-31,Member,Active,0
10607,35991,2023-10-11,Member,Active,0
10608,71132,2023-09-20,Member,Active,0
10609,82070,2023-01-26,Member,Active,0
10610,98583,2023-08-22,Member,Active,0
10611,85105,2023-08-28,Member,Active,0
10612,42305,2023-01-01,Member,Active,0
10613,20698,2023-02-23,Member,Active,0
10614,30295,2023-11-30,Member,Active,0
10615,72647,2023-10-11,Member,Active,0
10616,17695,2023-03-30,Member,Active,0
10617,1712,2023-03-14,Member,Active,0
10618,55745,2023-01-11,Member,Active,0
10619,44656,2023-02-03,Member,Active,0
10620,25154,2023-08-28,Member,Active,0
10621,73188,2023-01-30,Member,Active,0
10622,92104,2023-12-21,Member,Active,0
10623,49356,2023-12-09,Member,Active,0
10624,74801,2023-08-11,Member,Active,0
10625,49384,2023-02-24,Member,Active,0
10626,12802,2023-08-02,Member,Active,0
10627,57738,2023-09-09,Member,Active,0
10628,37011,2023-08-15,Member,Active,0
10629,24281,2023-10-25,Member,Active,0
10630,93992,2023-06-23,Member,Active,0
10631,24388,2023-07-26,Member,Active,0
10632,57772,2023-04-15,Member,Active,0
10633,45827,2023-01-25,Member,Active,0
10634,6507,2023-04-17,Member,Active,0
10635,98594,2023-04-12,Member,Active,0
10636,6073,2023-05-09,Member,Active,0
10637,43406,2023-11-14,Member,Active,0
10638,42549,2023-08-07,Member,Active,0
10639,72990,2023-10-17,Member,Active,0
10640,3100,2023-04-10,Member,Active,0
10641,66103,2023-12-28,Member,Active,0
10642,34271,2023-10-17,Member,Active,0
10643,61031,2023-11-11,Member,Active,0
10644,40020,2023-12-22,Member,Active,0
10645,84698,2023-06-06,Member,Active,0
10646,55650,2023-08-21,Member,Active,0
10647,19603,2023-03-21,Member,Active,0
10648,68495,2023-12-19,Member,Active,0
10649,37608,2023-05-16,Member,Active,0
10650,81154,2023-02-17,Member,Active,0
10651,51003,2023-01-09,Member,Active,0
10652,26635,2023-12-12,Member,Active,0
10653,10549,2023-05-03,Member,Active,0
10654,92779,2023-12-19,Member,Active,0
10655,7380,2023-01-20,Member,Active,0
10656,83195,2023-10-20,Member,Active,0
10657,26758,2023-04-12,Member,Active,0
10658,98232,2023-05-28,Member,Active,0
10659,95184,2023-09-19,Member,Active,0
10660,48597,2023-02-06,Member,Active,0
10661,42667,2023-11-13,Member,Active,0
10662,20217,2023-09-20,Member,Active,0
10663,86098,2023-05-06,Member,Active,0
10664,95134,2023-10-10,Member,Active,0
10665,78062,2023-07-05,Member,Active,0
10666,3229,2023-07-14,Member,Active,0
10667,35123,2023-02-17,Member,Active,0
10668,89531,2023-10-31,Member,Active,0
10669,86066,2023-05-29,Member,Active,0
10670,46434,2023-05-19,Member,Active,0
10671,39523,2023-02-24,Member,Active,0
10672,98134,2023-11-10,Member,Active,0
10673,75068,2023-04-16,Member,Active,0
10674,13546,2023-03-19,Member,Active,0
10675,30923,2023-05-02,Member,Active,0
10676,20704,2023-03-18,Member,Active,0
10677,91124,2023-12-15,Member,Active,0
10678,14303,2023-09-11,Member,Active,0
10679,9351,2023-05-07,Member,Active,0
10680,47508,2023-05-22,Member,Active,0
10681,13116,2023-08-28,Member,Active,0
10682,54033,2023-02-05,Member,Active,0
10683,57101,2023-05-21,Member,Active,0
10684,38543,2023-09-14,Member,Active,0
10685,41388,2023-10-25,Member,Active,0
10686,60866,2023-04-04,Member,Active,0
10687,15069,2023-10-09,Member,Active,0
10688,7007,2023-03-02,Member,Active,0
10689,786,2023-04-11,Member,Active,0
10690,33633,2023-09-11,Member,Active,0
10691,48965,2023-12-25,Member,Active,0
10692,47025,2023-09-11,Member,Active,0
10693,68893,2023-11-30,Member,Active,0
10694,80649,2023-12-18,Member,Active,0
10695,64864,2023-09-24,Member,Active,0
10696,12606,2023-01-01,Member,Active,0
10697,32324,2023-05-28,Member,Active,0
10698,17752,2023-02-07,Member,Active,0
10699,25806,2023-10-25,Member,Active,0
10700,16960,2023-09-23,Member,Active,0
10701,4315,2023-08-23,Member,Active,0
10702,697,2023-03-31,Member,Active,0
10703,86032,2023-09-18,Member,Active,0
10704,56723,2023-03-08,Member,Active,0
10705,33400,2023-02-07,Member,Active,0
10706,7049,2023-07-28,Member,Active,0
10707,97768,2023-04-28,Member,Active,0
10708,11183,2023-07-29,Member,Active,0
10709,44845,2023-03-03,Member,Active,0
10710,73777,2023-07-27,Member,Active,0
10711,64728,2023-07-11,Member,Active,0
10712,61318,2023-07-12,Member,Active,0
10713,11106,2023-07-13,Member,Active,0
10714,42336,2023-05-27,Member,Active,0
10715,32064,2023-04-12,Member,Active,0
10716,30730,2023-02-24,Member,Active,0
10717,25235,2023-01-27,Member,Active,0
10718,86861,2023-08-03,Member,Active,0
10719,88890,2023-02-17,Member,Active,0
10720,2181,2023-05-05,Member,Active,0
10721,48711,2023-12-15,Member,Active,0
10722,48059,2023-01-31,Member,Active,0
10723,21682,2023-06-17,Member,Active,0
10724,53607,2023-06-07,Member,Active,0
10725,52779,2023-07-22,Member,Active,0
10726,36219,2023-10-26,Member,Active,0
10727,74330,2023-02-13,Member,Active,0
10728,78238,2023-03-14,Member,Active,0
10729,59957,2023-07-29,Member,Active,0
10730,67990,2023-12-25,Member,Active,0
10731,12354,2023-12-26,Member,Active,0
10732,97841,2023-07-24,Member,Active,0
10733,57102,2023-06-17,Member,Active,0
10734,34280,2023-02-02,Member,Active,0
10735,25773,2023-07-12,Member,Active,0
10736,58511,2023-03-25,Member,Active,0
10737,67286,2023-11-14,Member,Active,0
10738,87099,2023-09-24,Member,Active,0
10739,86024,2023-11-24,Member,Active,0
10740,5399,2023-11-16,Member,Active,0
10741,54759,2023-09-01,Member,Active,0
10742,57348,2023-09-10,Member,Active,0
10743,15291,2023-05-08,Member,Active,0
10744,90344,2023-01-17,Member,Active,0
10745,99858,2023-08-31,Member,Active,0
10746,34966,2023-01-15,Member,Active,0
10747,60614,2023-12-20,Member,Active,0
10748,74989,2023-01-26,Member,Active,0
10749,57018,2023-08-26,Member,Active,0
10750,12028,2023-01-23,Member,Active,0
10751,49441,2023-05-05,Member,Active,0
10752,18249,2023-02-02,Member,Active,0
10753,16618,2023-10-28,Member,Active,0
10754,38117,2023-09-05,Member,Active,0
10755,38770,2023-07-06,Member,Active,0
10756,36597,2023-12-06,Member,Active,0
10757,77432,2023-09-23,Member,Active,0
10758,76266,2023-12-06,Member,Active,0
10759,70246,2023-12-08,Member,Active,0
10760,26062,2023-03-31,Member,Active,0
10761,42713,2023-02-06,Member,Active,0
10762,99482,2023-05-03,Member,Active,0
10763,60049,2023-03-08,Member,Active,0
10764,96856,2023-10-14,Member,Active,0
10765,52825,2023-11-28,Member,Active,0
10766,19953,2023-10-28,Member,Active,0
10767,30967,2023-02-03,Member,Active,0
10768,85944,2023-06-01,Member,Active,0
10769,80027,2023-07-06,Member,Active,0
10770,24741,2023-08-24,Member,Active,0
10771,64567,2023-10-25,Member,Active,0
10772,10845,2023-10-15,Member,Active,0
10773,28100,2023-09-19,Member,Active,0
10774,27099,2023-07-27,Member,Active,0
10775,1519,2023-02-04,Member,Active,0
10776,88469,2023-11-26,Member,Active,0
10777,43941,2023-01-07,Member,Active,0
10778,2768,2023-05-09,Member,Active,0
10779,35946,2023-10-11,Member,Active,0
10780,95842,2023-11-15,Member,Active,0
10781,94981,2023-05-25,Member,Active,0
10782,88917,2023-07-23,Member,Active,0
10783,36902,2023-07-04,Member,Active,0
10784,90346,2023-03-19,Member,Active,0
10785,69857,2023-08-06,Member,Active,0
10786,67865,2023-06-30,Member,Active,0
10787,67364,2023-12-17,Member,Active,0
10788,43928,2023-11-06,Member,Active,0
10789,56044,2023-05-22,Member,Active,0
10790,85922,2023-05-14,Member,Active,0
10791,55529,2023-08-31,Member,Active,0
10792,29329,2023-09-17,Member,Active,0
10793,48574,2023-10-13,Member,Active,0
10794,51812,2023-09-17,Member,Active,0
10795,68174,2023-12-07,Member,Active,0
10796,92960,2023-11-07,Member,Active,0
10797,99872,2023-08-29,Member,Active,0
10798,11504,2023-03-12,Member,Active,0
10799,38530,2023-04-09,Member,Active,0
10800,80950,2023-10-09,Member,Active,0
10801,80458,2023-01-09,Member,Active,0
10802,34780,2023-01-27,Member,Active,0
10803,81177,2023-01-12,Member,Active,0
10804,15752,2023-12-28,Member,Active,0
10805,73010,2023-06-09,Member,Active,0
10806,36141,2023-01-23,Member,Active,0
10807,36672,2023-07-10,Member,Active,0
10808,94108,2023-06-07,Member,Active,0
10809,47254,2023-11-17,Member,Active,0
10810,69061,2023-08-27,Member,Active,0
10811,33998,2023-06-19,Member,Active,0
10812,23694,2023-08-23,Member,Active,0
10813,45664,2023-11-23,Member,Active,0
10814,92633,2023-08-11,Member,Active,0
10815,39605,2023-10-10,Member,Active,0
10816,69679,2023-07-13,Member,Active,0
10817,68976,2023-05-04,Member,Active,0
10818,10428,2023-02-06,Member,Active,0
10819,81075,2023-01-08,Member,Active,0
10820,6971,2023-03-19,Member,Active,0
10821,64515,2023-12-08,Member,Active,0
10822,51146,2023-09-04,Member,Active,0
10823,34636,2023-10-12,Member,Active,0
10824,65435,2023-03-04,Member,Active,0
10825,10058,2023-02-14,Member,Active,0
10826,63183,2023-12-15,Member,Active,0
10827,99494,2023-06-19,Member,Active,0
10828,95251,2023-12-18,Member,Active,0
10829,56902,2023-12-24,Member,Active,0
10830,78462,2023-11-21,Member,Active,0
10831,28483,2023-08-31,Member,Active,0
10832,10179,2023-07-23,Member,Active,0
10833,25028,2023-11-28,Member,Active,0
10834,50645,2023-05-29,Member,Active,0
10835,55060,2023-06-27,Member,Active,0
10836,94207,2023-10-13,Member,Active,0
10837,18671,2023-05-31,Member,Active,0
10838,30656,2023-04-08,Member,Active,0
10839,57885,2023-06-03,Member,Active,0
10840,75639,2023-04-07,Member,Active,0
10841,47180,2023-04-25,Member,Active,0
10842,19546,2023-07-12,Member,Active,0
10843,25774,2023-01-02,Member,Active,0
10844,10346,2023-09-18,Member,Active,0
10845,45285,2023-07-23,Member,Active,0
10846,35917,2023-09-30,Member,Active,0
10847,64010,2023-02-27,Member,Active,0
10848,93442,2023-04-14,Member,Active,0
10849,51547,2023-02-24,Member,Active,0
10850,98254,2023-11-10,Member,Active,0
10851,33904,2023-12-02,Member,Active,0
10852,10662,2023-03-07,Member,Active,0
10853,43368,2023-01-04,Member,Active,0
10854,96068,2023-06-08,Member,Active,0
10855,72963,2023-08-10,Member,Active,0
10856,67630,2023-04-25,Member,Active,0
10857,2893,2023-12-14,Member,Active,0
10858,21918,2023-02-01,Member,Active,0
10859,20410,2023-06-16,Member,Active,0
10860,28449,2023-01-06,Member,Active,0
10861,77521,2023-01-19,Member,Active,0
10862,93713,2023-11-09,Member,Active,0
10863,76290,2023-02-26,Member,Active,0
10864,11432,2023-02-08,Member,Active,0
10865,38780,2023-06-15,Member,Active,0
10866,50846,2023-11-28,Member,Active,0
10867,72203,2023-06-09,Member,Active,0
10868,8652,2023-07-21,Member,Active,0
10869,7545,2023-11-23,Member,Active,0
10870,12966,2023-08-27,Member,Active,0
10871,20538,2023-01-23,Member,Active,0
10872,18513,2023-05-01,Member,Active,0
10873,53545,2023-05-06,Member,Active,0
10874,32438,2023-01-10,Member,Active,0
10875,80160,2023-01-27,Member,Active,0
10876,78301,2023-04-03,Member,Active,0
10877,53956,2023-10-18,Member,Active,0
10878,8256,2023-09-23,Member,Active,0
10879,22694,2023-06-23,Member,Active,0
10880,51689,2023-05-31,Member,Active,0
10881,41483,2023-12-18,Member,Active,0
10882,22759,2023-08-11,Member,Active,0
10883,55362,2023-02-24,Member,Active,0
10884,76289,2023-01-29,Member,Active,0
10885,44164,2023-02-16,Member,Active,0
10886,51215,2023-12-22,Member,Active,0
10887,14812,2023-08-22,Member,Active,0
10888,93767,2023-08-21,Member,Active,0
10889,61765,2023-05-27,Member,Active,0
10890,3059,2023-08-31,Member,Active,0
10891,15216,2023-02-02,Member,Active,0
10892,48779,2023-10-25,Member,Active,0
10893,14190,2023-04-09,Member,Active,0
10894,98457,2023-10-22,Member,Active,0
10895,55163,2023-04-03,Member,Active,0
10896,92335,2023-06-22,Member,Active,0
10897,69379,2023-01-19,Member,Active,0
10898,45363,2023-02-24,Member,Active,0
10899,49326,2023-09-25,Member,Active,0
10900,91057,2023-03-23,Member,Active,0
10901,12514,2023-02-15,Member,Active,0
10902,83425,2023-08-30,Member,Active,0
10903,58848,2023-01-10,Member,Active,0
10904,74238,2023-08-10,Member,Active,0
10905,91712,2023-08-04,Member,Active,0
10906,24608,2023-03-21,Member,Active,0
10907,58499,2023-08-09,Member,Active,0
10908,65566,2023-03-14,Member,Active,0
10909,73296,2023-09-12,Member,Active,0
10910,7035,2023-10-09,Member,Active,0
10911,7954,2023-08-13,Member,Active,0
10912,43229,2023-08-07,Member,Active,0
10913,7073,2023-09-23,Member,Active,0
10914,41128,2023-02-25,Member,Active,0
10915,3540,2023-03-18,Member,Active,0
10916,47061,2023-02-27,Member,Active,0
10917,93996,2023-02-13,Member,Active,0
10918,22173,2023-12-30,Member,Active,0
10919,68911,2023-03-03,Member,Active,0
10920,47353,2023-02-20,Member,Active,0
10921,31789,2023-07-02,Member,Active,0
10922,64886,2023-05-25,Member,Active,0
10923,22789,2023-05-25,Member,Active,0
10924,33687,2023-12-11,Member,Active,0
10925,11923,2023-06-01,Member,Active,0
10926,49906,2023-11-27,Member,Active,0
10927,65105,2023-06-05,Member,Active,0
10928,67971,2023-09-19,Member,Active,0
10929,84130,2023-10-28,Member,Active,0
10930,26228,2023-10-13,Member,Active,0
10931,60132,2023-02-05,Member,Active,0
10932,97018,2023-01-27,Member,Active,0
10933,54248,2023-04-10,Member,Active,0
10934,47496,2023-07-06,Member,Active,0
10935,91639,2023-03-10,Member,Active,0
10936,34797,2023-05-28,Member,Active,0
10937,42754,2023-02-06,Member,Active,0
10938,27938,2023-02-28,Member,Active,0
10939,847,2023-10-08,Member,Active,0
10940,80006,2023-09-26,Member,Active,0
10941,13427,2023-12-19,Member,Active,0
10942,13454,2023-07-31,Member,Active,0
10943,87178,2023-03-27,Member,Active,0
10944,93702,2023-09-03,Member,Active,0
10945,19617,2023-02-16,Member,Active,0
10946,55006,2023-12-16,Member,Active,0
10947,22162,2023-08-09,Member,Active,0
10948,29319,2023-08-12,Member,Active,0
10949,609,2023-02-19,Member,Active,0
10950,32117,2023-08-17,Member,Active,0
10951,85718,2023-09-30,Member,Active,0
10952,69063,2023-03-08,Member,Active,0
10953,12838,2023-10-27,Member,Active,0
10954,24970,2023-11-12,Member,Active,0
10955,96427,2023-08-16,Member,Active,0
10956,72322,2023-12-24,Member,Active,0
10957,58336,2023-11-29,Member,Active,0
10958,56639,2023-02-19,Member,Active,0
10959,26907,2023-05-02,Member,Active,0
10960,82593,2023-12-25,Member,Active,0
10961,90333,2023-09-04,Member,Active,0
10962,84996,2023-05-25,Member,Active,0
10963,69652,2023-01-31,Member,Active,0
10964,53764,2023-01-10,Member,Active,0
10965,51599,2023-01-31,Member,Active,0
10966,19042,2023-06-03,Member,Active,0
10967,2045,2023-01-06,Member,Active,0
10968,72100,2023-06-01,Member,Active,0
10969,55219,2023-11-08,Member,Active,0
10970,11010,2023-05-28,Member,Active,0
10971,47795,2023-01-22,Member,Active,0
10972,95803,2023-07-12,Member,Active,0
10973,32560,2023-12-15,Member,Active,0
10974,50436,2023-05-05,Member,Active,0
10975,56058,2023-12-09,Member,Active,0
10976,57165,2023-06-01,Member,Active,0
10977,76669,2023-06-28,Member,Active,0
10978,91614,2023-08-29,Member,Active,0
10979,87724,2023-05-18,Member,Active,0
10980,41422,2023-07-11,Member,Active,0
10981,7552,2023-05-12,Member,Active,0
10982,77148,2023-03-27,Member,Active,0
10983,34710,2023-02-08,Member,Active,0
10984,63911,2023-03-25,Member,Active,0
10985,42675,2023-10-07,Member,Active,0
10986,69192,2023-06-04,Member,Active,0
10987,23940,2023-05-15,Member,Active,0
10988,58255,2023-06-06,Member,Active,0
10989,85802,2023-11-12,Member,Active,0
10990,35265,2023-03-29,Member,Active,0
10991,7252,2023-12-16,Member,Active,0
10992,67102,2023-12-10,Member,Active,0
10993,35518,2023-03-12,Member,Active,0
10994,27077,2023-08-21,Member,Active,0
10995,68205,2023-07-17,Member,Active,0
10996,27084,2023-04-07,Member,Active,0
10997,16965,2023-07-04,Member,Active,0
10998,75900,2023-04-02,Member,Active,0
10999,88452,2023-06-19,Member,Active,0
11000,33856,2023-01-20,Member,Active,0
11001,80434,2023-06-02,Member,Active,0
11002,42443,2023-04-18,Member,Active,0
11003,46897,2023-07-31,Member,Active,0
11004,30694,2023-08-14,Member,Active,0
11005,64181,2023-01-20,Member,Active,0
11006,21890,2023-08-06,Member,Active,0
11007,50276,2023-06-03,Member,Active,0
11008,54928,2023-06-18,Member,Active,0
11009,5757,2023-11-07,Member,Active,0
11010,76780,2023-04-15,Member,Active,0
11011,85806,2023-12-07,Member,Active,0
11012,87546,2023-08-03,Member,Active,0
11013,49474,2023-04-02,Member,Active,0
11014,80692,2023-07-03,Member,Active,0
11015,37534,2023-05-07,Member,Active,0
11016,51776,2023-05-27,Member,Active,0
11017,2743,2023-07-25,Member,Active,0
11018,19942,2023-05-21,Member,Active,0
11019,40921,2023-06-24,Member,Active,0
11020,58685,2023-11-03,Member,Active,0
11021,44542,2023-05-26,Member,Active,0
11022,77588,2023-03-20,Member,Active,0
11023,47867,2023-08-07,Member,Active,0
11024,48746,2023-12-23,Member,Active,0
11025,27623,2023-06-19,Member,Active,0
11026,94140,2023-01-26,Member,Active,0
11027,61235,2023-03-30,Member,Active,0
11028,75653,2023-10-08,Member,Active,0
11029,22225,2023-06-02,Member,Active,0
11030,28445,2023-04-28,Member,Active,0
11031,7317,2023-05-18,Member,Active,0
11032,61265,2023-12-16,Member,Active,0
11033,74816,2023-03-27,Member,Active,0
11034,25100,2023-02-25,Member,Active,0
11035,34103,2023-07-19,Member,Active,0
11036,9957,2023-04-09,Member,Active,0
11037,53209,2023-12-04,Member,Active,0
11038,99652,2023-04-08,Member,Active,0
11039,68000,2023-06-07,Member,Active,0
11040,88445,2023-05-04,Member,Active,0
11041,23588,2023-04-04,Member,Active,0
11042,55089,2023-05-03,Member,Active,0
11043,58307,2023-05-28,Member,Active,0
11044,29289,2023-08-11,Member,Active,0
11045,23774,2023-04-17,Member,Active,0
11046,39989,2023-11-24,Member,Active,0
11047,46530,2023-02-19,Member,Active,0
11048,21745,2023-07-14,Member,Active,0
11049,71496,2023-05-02,Member,Active,0
11050,86396,2023-06-03,Member,Active,0
11051,10264,2023-06-21,Member,Active,0
11052,65635,2023-11-30,Member,Active,0
11053,9628,2023-07-23,Member,Active,0
11054,49178,2023-12-10,Member,Active,0
11055,24356,2023-07-07,Member,Active,0
11056,94951,2023-11-08,Member,Active,0
11057,69889,2023-05-14,Member,Active,0
11058,5503,2023-01-30,Member,Active,0
11059,87655,2023-06-26,Member,Active,0
11060,27965,2023-08-01,Member,Active,0
11061,20341,2023-09-25,Member,Active,0
11062,69685,2023-02-11,Member,Active,0
11063,16195,2023-06-11,Member,Active,0
11064,77780,2023-10-24,Member,Active,0
11065,87435,2023-09-30,Member,Active,0
11066,69981,2023-01-08,Member,Active,0
11067,24608,2023-12-22,Member,Active,0
11068,37614,2023-10-27,Member,Active,0
11069,60620,2023-01-25,Member,Active,0
11070,5519,2023-01-14,Member,Active,0
11071,21090,2023-01-19,Member,Active,0
11072,54043,2023-06-03,Member,Active,0
11073,95906,2023-03-12,Member,Active,0
11074,16877,2023-06-04,Member,Active,0
11075,69051,2023-04-29,Member,Active,0
11076,11895,2023-02-10,Member,Active,0
11077,75801,2023-02-27,Member,Active,0
11078,25970,2023-01-28,Member,Active,0
11079,40623,2023-05-25,Member,Active,0
11080,80129,2023-04-03,Member,Active,0
11081,41026,2023-09-11,Member,Active,0
11082,50672,2023-08-20,Member,Active,0
11083,51337,2023-04-30,Member,Active,0
11084,8344,2023-10-02,Member,Active,0
11085,85703,2023-12-04,Member,Active,0
11086,12715,2023-08-10,Member,Active,0
11087,30697,2023-07-05,Member,Active,0
11088,26331,2023-05-31,Member,Active,0
11089,31943,2023-11-16,Member,Active,0
11090,22798,2023-08-14,Member,Active,0
11091,88679,2023-01-29,Member,Active,0
11092,33131,2023-09-05,Member,Active,0
11093,16299,2023-12-07,Member,Active,0
11094,97685,2023-06-13,Member,Active,0
11095,234,2023-07-02,Member,Active,0
11096,46538,2023-06-19,Member,Active,0
11097,38040,2023-10-02,Member,Active,0
11098,95199,2023-02-20,Member,Active,0
11099,5698,2023-12-05,Member,Active,0
11100,63128,2023-06-30,Member,Active,0
11101,74132,2023-03-14,Member,Active,0
11102,24428,2023-12-27,Member,Active,0
11103,44727,2023-08-26,Member,Active,0
11104,9104,2023-08-13,Member,Active,0
11105,18062,2023-06-21,Member,Active,0
11106,91700,2023-08-28,Member,Active,0
11107,91609,2023-11-13,Member,Active,0
11108,13034,2023-02-23,Member,Active,0
11109,87021,2023-12-20,Member,Active,0
11110,44840,2023-05-30,Member,Active,0
11111,46147,2023-01-27,Member,Active,0
11112,57736,2023-05-17,Member,Active,0
11113,97224,2023-10-13,Member,Active,0
11114,94083,2023-01-08,Member,Active,0
11115,14651,2023-10-31,Member,Active,0
11116,27820,2023-01-25,Member,Active,0
11117,91600,2023-06-03,Member,Active,0
11118,95049,2023-09-02,Member,Active,0
11119,53494,2023-07-29,Member,Active,0
11120,48203,2023-01-06,Member,Active,0
11121,64097,2023-05-30,Member,Active,0
11122,11449,2023-08-17,Member,Active,0
11123,90256,2023-04-04,Member,Active,0
11124,14258,2023-04-23,Member,Active,0
11125,52817,2023-12-21,Member,Active,0
11126,27235,2023-11-27,Member,Active,0
11127,98615,2023-04-05,Member,Active,0
11128,43881,2023-05-15,Member,Active,0
11129,97935,2023-01-24,Member,Active,0
11130,58057,2023-02-05,Member,Active,0
11131,19085,2023-01-19,Member,Active,0
11132,66536,2023-09-13,Member,Active,0
11133,23006,2023-08-05,Member,Active,0
11134,50464,2023-01-18,Member,Active,0
11135,53179,2023-10-15,Member,Active,0
11136,18552,2023-04-08,Member,Active,0
11137,95784,2023-07-20,Member,Active,0
11138,24412,2023-07-09,Member,Active,0
11139,53055,2023-03-14,Member,Active,0
11140,4218,2023-12-10,Member,Active,0
11141,50329,2023-09-22,Member,Active,0
11142,67953,2023-10-28,Member,Active,0
11143,56213,2023-07-02,Member,Active,0
11144,53567,2023-06-01,Member,Active,0
11145,58432,2023-11-05,Member,Active,0
11146,75380,2023-07-22,Member,Active,0
11147,8119,2023-09-09,Member,Active,0
11148,88308,2023-12-05,Member,Active,0
11149,17118,2023-11-16,Member,Active,0
11150,83624,2023-05-18,Member,Active,0
11151,41195,2023-08-19,Member,Active,0
11152,46173,2023-03-15,Member,Active,0
11153,96317,2023-02-05,Member,Active,0
11154,13926,2023-10-23,Member,Active,0
11155,25196,2023-07-22,Member,Active,0
11156,62276,2023-09-27,Member,Active,0
11157,8154,2023-05-10,Member,Active,0
11158,27118,2023-06-19,Member,Active,0
11159,63344,2023-05-11,Member,Active,0
11160,59899,2023-08-29,Member,Active,0
11161,46850,2023-05-11,Member,Active,0
11162,87258,2023-12-06,Member,Active,0
11163,87689,2023-12-08,Member,Active,0
11164,47426,2023-09-21,Member,Active,0
11165,10962,2023-11-26,Member,Active,0
11166,41884,2023-04-10,Member,Active,0
11167,4396,2023-12-30,Member,Active,0
11168,57293,2023-12-09,Member,Active,0
11169,1888,2023-07-26,Member,Active,0
11170,90437,2023-03-08,Member,Active,0
11171,31354,2023-07-03,Member,Active,0
11172,88735,2023-05-06,Member,Active,0
11173,50507,2023-08-20,Member,Active,0
11174,17090,2023-07-17,Member,Active,0
11175,68079,2023-11-14,Member,Active,0
11176,86186,2023-10-23,Member,Active,0
11177,50663,2023-05-03,Member,Active,0
11178,17365,2023-05-27,Member,Active,0
11179,77718,2023-03-26,Member,Active,0
11180,30651,2023-08-23,Member,Active,0
11181,98794,2023-11-12,Member,Active,0
11182,39648,2023-09-13,Member,Active,0
11183,43696,2023-02-25,Member,Active,0
11184,82533,2023-04-09,Member,Active,0
11185,5057,2023-12-10,Member,Active,0
11186,80306,2023-07-18,Member,Active,0
11187,7530,2023-08-10,Member,Active,0
11188,59481,2023-11-27,Member,Active,0
11189,45484,2023-11-13,Member,Active,0
11190,88822,2023-06-22,Member,Active,0
11191,80481,2023-02-17,Member,Active,0
11192,33583,2023-10-26,Member,Active,0
11193,63641,2023-10-11,Member,Active,0
11194,97178,2023-02-14,Member,Active,0
11195,89261,2023-06-05,Member,Active,0
11196,81292,2023-03-11,Member,Active,0
11197,18606,2023-07-15,Member,Active,0
11198,59872,2023-11-24,Member,Active,0
11199,99314,2023-05-22,Member,Active,0
11200,90250,2023-05-28,Member,Active,0
11201,41163,2023-07-27,Member,Active,0
11202,91178,2023-10-25,Member,Active,0
11203,75199,2023-05-06,Member,Active,0
11204,20368,2023-02-19,Member,Active,0
11205,10090,2023-11-12,Member,Active,0
11206,26127,2023-08-29,Member,Active,0
11207,81171,2023-12-26,Member,Active,0
11208,52155,2023-01-29,Member,Active,0
11209,34172,2023-08-05,Member,Active,0
11210,23241,2023-09-03,Member,Active,0
11211,91329,2023-02-21,Member,Active,0
11212,44123,2023-01-21,Member,Active,0
11213,65907,2023-07-31,Member,Active,0
11214,84833,2023-11-07,Member,Active,0
11215,51528,2023-02-21,Member,Active,0
11216,71394,2023-04-18,Member,Active,0
11217,55607,2023-02-10,Member,Active,0
11218,7139,2023-09-21,Member,Active,0
11219,56287,2023-12-10,Member,Active,0
11220,1950,2023-01-05,Member,Active,0
11221,18033,2023-06-12,Member,Active,0
11222,68553,2023-05-28,Member,Active,0
11223,33658,2023-06-09,Member,Active,0
11224,55836,2023-06-18,Member,Active,0
11225,89596,2023-11-04,Member,Active,0
11226,19176,2023-10-15,Member,Active,0
11227,90054,2023-07-12,Member,Active,0
11228,45495,2023-12-28,Member,Active,0
11229,23496,2023-01-03,Member,Active,0
11230,91858,2023-08-08,Member,Active,0
11231,87406,2023-10-14,Member,Active,0
11232,46742,2023-11-22,Member,Active,0
11233,45210,2023-05-18,Member,Active,0
